연도,시도,구군,주소,지수
2003,강원(남),강릉시,강원 강릉시,148.3
2004,강원(남),강릉시,강원 강릉시,902.5
2005,강원(남),강릉시,강원 강릉시,927.3
2006,강원(남),강릉시,강원 강릉시,937.1
2007,강원(남),강릉시,강원 강릉시,925.1
2008,강원(남),강릉시,강원 강릉시,888.1
2009,강원(남),강릉시,강원 강릉시,877.5
2010,강원(남),강릉시,강원 강릉시,876.4
2011,강원(남),강릉시,강원 강릉시,948.4
2012,강원(남),강릉시,강원 강릉시,1061.7
2013,강원(남),강릉시,강원 강릉시,1077
2014,강원(남),강릉시,강원 강릉시,1088.9
2015,강원(남),강릉시,강원 강릉시,1128.3
2016,강원(남),강릉시,강원 강릉시,1162
2017,강원(남),강릉시,강원 강릉시,1182.9
2018,강원(남),강릉시,강원 강릉시,402.7
2003,강원(남),원주시,강원 원주시,147.4
2004,강원(남),원주시,강원 원주시,912.1
2005,강원(남),원주시,강원 원주시,939.9
2006,강원(남),원주시,강원 원주시,997.1
2007,강원(남),원주시,강원 원주시,998.4
2008,강원(남),원주시,강원 원주시,986
2009,강원(남),원주시,강원 원주시,978.5
2010,강원(남),원주시,강원 원주시,974.5
2011,강원(남),원주시,강원 원주시,1013
2012,강원(남),원주시,강원 원주시,1120.8
2013,강원(남),원주시,강원 원주시,1133.7
2014,강원(남),원주시,강원 원주시,1142.4
2015,강원(남),원주시,강원 원주시,1149.3
2016,강원(남),원주시,강원 원주시,1165.8
2017,강원(남),원주시,강원 원주시,1186.3
2018,강원(남),원주시,강원 원주시,399.3
2003,강원(남),춘천시,강원 춘천시,145
2004,강원(남),춘천시,강원 춘천시,875.1
2005,강원(남),춘천시,강원 춘천시,904.7
2006,강원(남),춘천시,강원 춘천시,900.2
2007,강원(남),춘천시,강원 춘천시,878.7
2008,강원(남),춘천시,강원 춘천시,892.3
2009,강원(남),춘천시,강원 춘천시,929
2010,강원(남),춘천시,강원 춘천시,981.7
2011,강원(남),춘천시,강원 춘천시,1075.5
2012,강원(남),춘천시,강원 춘천시,1149
2013,강원(남),춘천시,강원 춘천시,1136
2014,강원(남),춘천시,강원 춘천시,1141.8
2015,강원(남),춘천시,강원 춘천시,1143.9
2016,강원(남),춘천시,강원 춘천시,1161.8
2017,강원(남),춘천시,강원 춘천시,1188.6
2018,강원(남),춘천시,강원 춘천시,398.7
2003,경기,고양시,경기 고양시,134.6
2004,경기,고양시,경기 고양시,797.2
2005,경기,고양시,경기 고양시,799.7
2006,경기,고양시,경기 고양시,929.7
2007,경기,고양시,경기 고양시,1150.9
2008,경기,고양시,경기 고양시,1204.6
2009,경기,고양시,경기 고양시,1192.4
2010,경기,고양시,경기 고양시,1169.7
2011,경기,고양시,경기 고양시,1142.4
2012,경기,고양시,경기 고양시,1109.9
2013,경기,고양시,경기 고양시,1052.5
2014,경기,고양시,경기 고양시,1070.8
2015,경기,고양시,경기 고양시,1122.9
2016,경기,고양시,경기 고양시,1160.7
2017,경기,고양시,경기 고양시,1186.5
2018,경기,고양시,경기 고양시,398.7
2003,경기,과천시,경기 과천시,130
2004,경기,과천시,경기 과천시,757.8
2005,경기,과천시,경기 과천시,834.5
2006,경기,과천시,경기 과천시,1051.8
2007,경기,과천시,경기 과천시,1310.1
2008,경기,과천시,경기 과천시,1226.1
2009,경기,과천시,경기 과천시,1214.1
2010,경기,과천시,경기 과천시,1245.7
2011,경기,과천시,경기 과천시,1205.6
2012,경기,과천시,경기 과천시,1115.1
2013,경기,과천시,경기 과천시,1064.2
2014,경기,과천시,경기 과천시,1101.2
2015,경기,과천시,경기 과천시,1134
2016,경기,과천시,경기 과천시,1172
2017,경기,과천시,경기 과천시,1193.1
2018,경기,과천시,경기 과천시,416.9
2003,경기,광명시,경기 광명시,123.6
2004,경기,광명시,경기 광명시,701.6
2005,경기,광명시,경기 광명시,694.3
2006,경기,광명시,경기 광명시,750.9
2007,경기,광명시,경기 광명시,871.9
2008,경기,광명시,경기 광명시,1016.4
2009,경기,광명시,경기 광명시,1041.3
2010,경기,광명시,경기 광명시,1029.7
2011,경기,광명시,경기 광명시,1022.6
2012,경기,광명시,경기 광명시,1009.2
2013,경기,광명시,경기 광명시,984.9
